Title,Price,Location,Product URL
2bed room 1 hall semi modular kitchen with covered car parking,"₹ 11,000","HALDWANI TALLI, HALDWANI",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1800-sq-ft-in-haldwani-talli-haldwani-iid-1807345625
2 BHK with covered car parking for sale,"₹ 61,99,999","PADUR, KOVALAM",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-727-sq-ft-in-padur-kovalam-iid-1806053443
107 Gaj home with covered car parking near by main market,"₹ 45,00,000","JAWAHAR COLONY, FARIDABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
3 bhk 100 gaj independent house with covered car parking for sale,"₹ 57,00,000","LAL KUAN, GHAZIABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-900-sq-ft-in-lal-kuan-ghaziabad-iid-1798687306
Car Seat Cover - Brand New - Autofoam (Swift),"₹ 4,500","MAHIM, MUMBAI",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-mahim-mumbai-iid-1755737191
clean and pure original car with insurence covered,"₹ 5,70,000","VICTORIYA POOL, MANDI",https://www.olx.in/item/cars-c84-used-honda-amaze-in-victoriya-pool-mandi-iid-1804409599
2 BHK Flat For sale in Tower With Cover Car parking,"₹ 90,00,000","ULWE, NAVI MUMBAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-ulwe-navi-mumbai-iid-1805836017
1bhk car parking covered flat rent family Bharti vidyapeeth dhankawadi,"₹ 13,500","DHANAKWADI, PUNE",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-633-sq-ft-in-dhanakwadi-pune-iid-1807979391
Brand a new unboxing nexa fronx car body cover Amazon pkg,"₹ 1,499","MAHEBOOB NAGAR, KALABURAGI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-maheboob-nagar-kalaburagi-iid-1807973879
All cars side mirror batman cover abs plastic piano black,"₹ 2,499","GANGTOK PRIVATE ESTATE, GANGTOK",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156
All cars side mirror cover batman style abs plastic piano black,"₹ 2,500","ANNA NAGAR, MADURAI",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925
Luxurious Bungalow with covered Parking for 20 cars in Ernakulam,"₹ 5,50,00,000","KACHERIPADY, KOCHI",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-3000-sq-ft-in-kacheripady-kochi-iid-1807965357
Car key cover,₹ 450,"VIDYANAGAR, TUMAKURU",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-vidyanagar-tumakuru-iid-1807957399
Covered car parking in main road Near Maharishi Vidya Mandir CBSE Scho,"₹ 2,000","KOODAL NAGAR, MADURAI",https://www.olx.in/item/for-rent-shops-offices-c1731-800-sq-ft-in-koodal-nagar-madurai-iid-1807956840
Water proof Car cover for SUV,"₹ 2,000","FEROZPUR, FIROZPUR",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ferozpur-firozpur-iid-1807954754
Car cover for cars,"₹ 2,000","ARINALOOR, ARAKANDANALLUR",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-arinaloor-arakandanallur-iid-1807947396
Nirman Aura 2 BHK Semi furnished flat with covered car parking sale,"₹ 69,00,000","AMBEGAON, PUNE",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-920-sq-ft-in-ambegaon-pune-iid-1806884319
Car Cover Sedan,"₹ 2,000","PATLIPUTRA, MUMBAI",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-patliputra-mumbai-iid-1807715237
Car cover for wagon r,₹ 950,"DLF CITY PHASE 4, GURGAON",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-dlf-city-phase-4-gurgaon-iid-1807934361
2BHK Flat at shivane with covered car parking Brand new condition,"₹ 37,99,000","SHIVANE, PUNE",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-shivane-pune-iid-1803879123
2.5 years old lift covered car parking,"₹ 17,000","PARK TOWN, MADURAI",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-875-sq-ft-in-park-town-madurai-iid-1804588955
Car seat cover,"₹ 6,999","EAST GODAVARI DISTRICT, ANDHRA PRADESH",https://www.olx.in/item/sofa-dining-c1593-car-seat-cover-in-east-godavari-district-andhra-pradesh-iid-1807540238
All cars side mirror cover abs plastic piano black batman style,"₹ 2,500","DWARKA SECTOR 98, DELHI",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-abs-plastic-piano-black-batman-style-in-dwarka-sector-98-delhi-iid-1800587295
Ertica car cover hai new hai rakha hai car bich di hai cover rakha hai,"₹ 2,500","SRINIWASPURI, DELHI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-sriniwaspuri-delhi-iid-1807929420
"Wheel cover Alto, wagonr, Swift, ertiga, all car model",₹ 450,"DEVI DARSHAN NAGAR, SURAT",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-devi-darshan-nagar-surat-iid-1807918274
Punch car seat cover,"₹ 14,000","SATHAGALLI LAYOUT, MYSURU",https://www.olx.in/item/mobile-phones-c1453-used-honor-in-sathagalli-layout-mysuru-iid-1806922217
1 bhk flat with covered car parking in dhanshree pearl nice society,"₹ 39,50,000","TALOJA, NAVI MUMBAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-650-sq-ft-in-taloja-navi-mumbai-iid-1807907235
"Car body cover for Tata nexon, creta, honda elevate etc..","₹ 4,000","BENGERI COLONY, HUBBALLI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bengeri-colony-hubballi-iid-1807901159
75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100","JAWAHAR COLONY, FARIDABAD",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614
Punch Car cover for Sale,"₹ 1,000","GHORPADI, PUNE",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-ghorpadi-pune-iid-1807889942
Family used 2011 manza diesel car full cover insurance (idv 262000),"₹ 1,79,999","WEST FORT, THRISSUR",https://www.olx.in/item/cars-c84-used-tata-manza-in-west-fort-thrissur-iid-1807207480
3BHK Apartment with Reservered & Covered Car Parking for Sale,"₹ 1,20,00,000","VELACHERI, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1082-sq-ft-in-velacheri-chennai-iid-1805358483
Car cover and vaccum cleaner,"₹ 3,800","KILPAUK GARDEN COLONY, CHENNAI",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kilpauk-garden-colony-chennai-iid-1807855684
2bhk flat with covered car parking for sale,"₹ 55,00,000","KORATTUR, CHENNAI",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-712-sq-ft-in-korattur-chennai-iid-1807854666
Independent villa with ground & first floor and covered car parking,"₹ 18,000","KAMALUWA GANJA GAUR, HALDWANI",https://www.olx.in/item/for-rent-houses-apartments-c1723-4-bhk-houses-villas-1200-sq-ft-in-kamaluwa-ganja-gaur-haldwani-iid-1807850698
Car cover for urgent sale,₹ 800,"NEHRU ROAD, MUMBAI",https://www.olx.in/item/spare-parts-c1585-car-cover-for-urgent-sale-in-nehru-road-mumbai-iid-1806960036
2Bhk flats with covered car parking,"₹ 42,00,000","PERUNGALATTUR, TAMBARAM",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-850-sq-ft-in-perungalattur-tambaram-iid-1805393637
Swift diamond leather car seat cover blr,"₹ 13,000","WHITEFIELD, BENGALURU",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-whitefield-bengaluru-iid-1807833905
Covered Car parking,"₹ 2,500","NEW TOWN-ACTION AREA IIC, KOLKATA",https://www.olx.in/item/for-rent-shops-offices-c1731-150-sq-ft-in-new-town-action-area-iic-kolkata-iid-1807831065
